english,korean
You'll be picking fruit and generally helping us do all the usual farm work.,당신은 과일을 따기도 하고 대체로 우리가 하는 일상적인 농장 일을 돕게 될 겁니다.
"In the Middle Ages, cities were not very clean, and the streets were filled with garbage.",중세에 도시들은 그리 깨끗하지 않았고 거리는 오물로 가득 차 있었다.
"For the moment they may yet be hiding behind their apron strings, but sooner or later their society will catch up with the progressive world.","지금은 여성들이 앞치마 끈 뒤에서 숨어있을지 모르지만, 조만간 그들의사회는 진보하는 세계를 따라 잡을 것이다."
"Do you know what the cow answered?"" said the minister.","소가 뭐라고 대답했는지 압니까?"" 라고 목사가 말했다."
Poland and Italy may seem like very different countries.,폴란드와 이탈리아는 매우 다른 나라들처럼 보여진다.
Mr. Smith and I stayed the whole day in Oxford.,Smith씨와 나는 Oxford에서 하루 종일 지냈다.
The sight of a red traffic signal gave him an idea.,적색 교통 신호등을 본 것이 그에게 아이디어를 주었다.
So they used pumpkins instead.,그래서 그들은 호박을 대신 사용하였다.
2. a particular occasion of state of affairs: They might not offer me much money.,"2. 특별한 일의 경우, 사정: 그들은 내게 돈을 많이 주지 않을 지도 모른다."
"I'm especially interested in learning, horse-riding skills, so I hope you'll include information about this.","저는 특히 승마 기술을 배우는 것에 관심이 있으므로, 이것에 대한 정보를 포함시켜 주시길 바랍니다."
"Instead, the devil gave him a single candle to light his way through the darkness.","그 대신에, 악마는 그에게 어둠 속에서 길을 밝히도록 초 한 자루를 주었다."
It shines over the sea.,그것은 바다 위를 비춘다.
"He, too, was arrested, and a bomb was thrown at his house.","그도 체포되었으며, 그의 집에는 폭탄이 던져졌다."
It seems that the high temperature and pressure on the star made its carbon surface turn to diamond.,별에 가해진 높은 온도와 압력이 탄소 표면을 다이아몬드로 변하게 한 것 같다.
"""The pig was unpopular while the cow was loved by everyone.","""돼지는 인기가 없었는데 소는 모든 사람들의 사랑을 받았어요."
Books give a lot of things to us.,책은 많은 것들을 우리에게 준다.
Jimmy and Timmy were identical twins.,지미와 티미는 일란성 쌍둥이였다.
It is a chemical that cause cancer.,이것은 암을 유발하는 화학물질이다.
Ziege from Germany and Brazilian superstars Ronaldo and Roberto Carlos belonged to the bald club.,독일의 지게와 브라질의 슈퍼스타 호나우두와 로베르토 카를로스는 민머리 클럽에 속했다.
Now the Taliban are gone and things have begun to change.,이제 탈레반은 사라졌고 상황은 변하기 시작했다.
"Is your skin clear, smooth, and shining with health?","당신의 피부는 깨끗하고, 부드러우며, 건강미로 빛이 납니까?"
"As a result, there is a great deal of traffic and usually not enough roads, and most of the roads are too narrow.","그 결과 교통량은 많고 도로는 충분치 않으며, 도로들의 대부분은 너무나 비좁다."
The new law said that blacks were free to sit anywhere on Montgomery's buses.,그 새로운 법에는 흑인들이 몽고메리 시내버스의 어느 자리에나 앉을 수 있다는 내용이 명문화되었다.
"Then when it is full of money, I can buy a new computer!"".","그러면 이것이 돈으로 곽 찼을 때 새 컴퓨터를 살 수 있잖아!"""
Believers in aliens' visits argue that there is historical evidence to support their belief.,외계인의 방문을 믿는 사람들은 그들의 믿음을 뒷받침하는 역사적인 증거가 있다고 주장한다.
Two hikers were walking through the woods when they met a big bear.,두 명의 도보여행자가 숲속을 걷고 있다가 큰 곰을 만났다.
To do that you must have friends.,그러기 위해서는 친구가 있어야 한다.
The Seoul Grand Park is located in Kwach'ǒn just out of Seoul.,서울대공원은 서울 바로 밖인 과천에 위치하고 있다.
Many people who live in Seoul visit the Seoul Grand Park on weekends.,서울에 살고 있는 많은 사람들은 주말에 서울대공원을 방문한다.
"One town in California passed a law that said, ""A driver must stop his car when he sees a horse on the road three hundred feet ahead.""","캘리포니아 주에 있는 한 마을에서는 ""운전자는 도로상에서 300피트 전방에 말이 보일 때 자동차를 세워야 한다""는 법안을 통과시켰다."
"Dear Mr. Jones,",친애하는 존스씨께
It is a very important builing.,그것은 아주 중요한 건물이다.
I will be grateful if you could send me information about the various activities and classes you have scheduled.,계획하신 다양한 활동과 수업에 대한 정보를 보내 주신다면 매우 고맙겠습니다.
Did you know that many discoveries have come from dreams?,당신은 많은 발견이 꿈으로부터 나왔다는 것을 알고 있었는가?
The two men on either side were acting as if they were actually fishing.,양쪽에 앉은 두 명은 마치 자기들이 실제로 낚시를 하고 있는 것처럼 행동하고 있었다.
