index,pred
0,3313.2806449647087
1,886.7169571772573
2,3889.072200099718
3,896.2880011644095
4,1361.4342268125945
5,2942.6554300660314
6,1127.1085787584973
7,3976.4508262178615
8,3322.4429993017607
9,117.71794468508517
10,3926.1297481535444
11,2917.5491970317803
12,2980.1240229413775
13,1939.6569484821134
14,1106.7683819833599
15,290.0101816469629
16,3818.6987683779425
17,545.7964659106871
18,1074.752114299371
19,4185.1850040148265
20,2228.582765500229
21,1052.6394835660856
22,2493.770875530904
23,720.9501913941704
24,4590.70275290059
25,3063.4720567577647
26,1006.7513105021447
27,4744.545328917047
28,1981.6383389396035
29,3840.0997608726257
30,3937.516500642498
31,534.6215712099118
32,3825.112987470146
33,2314.664601993168
34,4079.7842199355673
35,1081.6169373920636
36,3947.0500149447325
37,1705.2705451306767
38,635.8634849560085
39,1522.8550716706213
40,4682.013295855442
41,3303.936870912388
42,1350.8490166966544
43,554.5342477914287
44,4388.843623108816
45,4614.439547687328
46,3547.7427396106114
47,4569.672930998348
48,802.4639817251793
49,2071.0402712094256
50,3881.873772083476
51,3200.919241075777
52,2091.257789621667
53,2682.673586897272
54,2062.166428541377
55,719.3233433272885
56,1059.625714475165
57,1398.8465208723346
58,2890.802242194337
59,3787.1847488198696
60,1035.4256716200805
61,1354.4125685712197
62,3727.6516538264655
63,2798.9252575044943
64,4413.070438386436
65,1119.7691844631058
66,4157.378656357145
67,536.6461053863206
68,3605.790178434451
69,3007.9212094416343
70,2296.862128153794
71,451.2965994133966
72,734.7934439712342
73,3170.4678880686565
74,4167.977515852473
75,117.71794468508517
76,725.4425236131287
77,2483.5533218691126
78,5112.248915823931
79,1760.5753130914652
80,4236.563783226987
81,1823.5991762783406
82,3819.7705383307357
83,1456.7416082967184
84,3687.069119045607
85,3755.457044044925
86,1489.85776962646
87,1456.6119909368836
88,4104.219638850555
89,2658.815868652974
90,4347.719479098145
91,3447.4188529791973
92,3247.3529079499767
93,3843.501047729226
94,533.2687434841055
95,4304.756521956119
96,2229.928056439971
97,3065.348592676761
98,3803.0320624986775
99,1790.7625530607952
100,4749.446019269088
101,2782.9621345799287
102,120.9143949412181
103,732.4682325942225
104,4883.181668365537
105,997.080831082245
106,1735.428004756062
107,2911.612311233559
108,2217.7770103798102
109,2308.05164526632
110,787.3042563028166
111,549.3102454718518
112,2022.5550920074425
113,1075.7434001788622
114,1141.2472597736835
115,927.5934452570941
116,3633.9479947658706
117,3906.344603405752
118,5227.539193082099
119,3146.9369708490667
120,1042.7533765010928
121,5031.992947256154
122,5034.757290195996
123,3948.792453161
124,710.3974165368377
125,3896.0989106041966
126,1039.8635362334483
127,2272.4262336627326
128,3778.073165394433
129,4763.22802375856
130,4766.4326971986375
131,3893.3340284001424
132,534.6215712099118
133,2913.2367065323783
134,5768.173569371694
135,1407.2118545711503
136,868.9657702774659
137,1159.205019100684
138,887.6116904225986
139,2853.4901671514344
140,2205.628122127364
141,458.78866376945297
142,1504.3760172248158
